,Date,User,Tweet
23,2022-09-01 19:36:18+00:00,pressebasket,"qd tu attends l'officialisation des trades des #Girondins depuis un mois et que qd ça arrive enfin, tu as @wojespn qui te sort une putain de #wojbomb. je ne sais plus où donner de la tête, tu suis toi @Branque33 ? 
#Mercato #Nbatrades #Mitchell #Barbet #Nsimba #Bordeaux https://t.co/wVeCgjbSq2"
24,2022-09-01 16:45:30+00:00,NoCrownPlease,"Can Pat Bev and Russ coexist or should Lakers look to trade Westbrook for other pieces?

NBA 2K22 Live Gameplay Simulation:
https://t.co/pMgDkYt1CL

#NBA2K23 #PATRICKBEVERLEY
#LEBRONJAMES #NBA2K22 #2KYOUTUBER
#GAMEPLAY #NBA2K #2KCOMMUNITY #NBATRADES #NBATWITTER #NBATWITTERLIVE https://t.co/VMgPEb7pLn"
25,2022-09-01 16:34:17+00:00,NoCrownPlease,"New Look Lakers v. New Look Clippers
NBA 2K22 Live Gameplay Simulation:
https://t.co/pMgDkYt1CL

Subscribe to the Channel!

#NBA2K23 #PATRICKBEVERLEY #LAKERS
#LEBRONJAMES #NBA2K22 #2KYOUTUBER
#NBA2KYOUTUBER #NBA2K #2KCOMMUNITY #NBATRADES #NBANEWS #NBATWITTER #GAMEPLAY #NBAUPDATES https://t.co/rOfC7GkLN6"
26,2022-09-01 15:24:20+00:00,LTrain_NBA,"Ο Cam Reddish θελει μεγαλυτερο ρολο στο παιχνιδι του, οποτε ψαχνεται για να αποχωρησει απο τους #knicks.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA"
27,2022-08-30 22:52:13+00:00,DThornDigital,"#DonovanMitchell Traded To The #Knicks For #RJBarrett ‼️**#ESPN #WOJ BREAKING NEWS**🤯🤯🤯
👉https://t.co/0XbyUApabF👈👀
#newyork #ny #newyorkknicks #knicktape #utah #utahjazz #nba #nbanews #nbatrades #stephenasmith #firsttake #lebron #lakers #russellwestbrook #explorepage #viral https://t.co/0D2PTn9Zu1"
28,2022-08-30 15:38:27+00:00,LTrain_NBA,"Καποιος εβγαλε απο το bio στο προφιλ του το ""Utah Jazz"". 👀👀👀

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA https://t.co/8uioXcTzM2"
29,2022-08-30 15:22:38+00:00,pressebasket,"La fin du #mercato des #Girondins,  c un match entre @clementcarpet @EmeryTaisne et @diabate33 digne des duels de légendes entre @wojespn et @ShamsCharania pr les #nbatrades
#Bordeaux #nba #ligue2 #Girondinsforever"
30,2022-08-29 22:58:42+00:00,DThornDigital,"#RussellWestbrook Traded To The #UtahJazz For #MikeConley, #JordanClarkson &amp; #BojanBogdanovic **#ESPN BREAKING NEWS**‼️🤯🤯🤯
👉https://t.co/smhdQXfbXe👈👀
#Jazz #Lakers #LosAngeles #LosAngeleslakers #AaronRodgers #nfl #tombrady #sports #sportsnews #nbanews #nbatrades https://t.co/c9Kpx8GwCO"
31,2022-08-29 05:25:49+00:00,LTrain_NBA,"Πολυ κοντα στην αποκτηση του Markieff Morris ειναι οι #nets. Οι οποίοι χθες εκλεισαν και τον free agent, Yuta Watanabe.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA"
32,2022-08-29 02:58:40+00:00,Skyler_Waterman,"The @Lakers &amp; @utahjazz should make this trade. The Lakers send out 1 of their 1st round picks (not both unless Utah sweetens the deal) the Jazz clear cap space for the 2023-2024 NBA season, and the Lakers immediately become a more competitive team. #NBA #NBAtrades ##NBATwitter https://t.co/4bdMrvZtwB https://t.co/WVAlFgC729"
33,2022-08-29 02:26:29+00:00,OffTheScreen_B,"Where do you want to see Donovan Mitchell play this coming season?

📈 #NBATwitter #NBAtalks
#NBAtrades #NBAupdates #NBA2K23"
34,2022-08-28 17:43:19+00:00,LTrain_NBA,"Απο οτι φαίνεται το θεμα με το trade #jazz και #knicks, οσον αφορα τον Mitchell, δεν εχει ""σβησει"". Οι #knicks παραμενουν ζεστοι και προς ωρας ειναι και το φαβορι αναμεσα στους αλλους διεκδικητές.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75"
35,2022-08-27 04:34:57+00:00,LTrain_NBA,"Οι #jazz το παλεύουν να βρουν μια καλή προσφορά για τον Mitchell πριν από το training camp του Σεπτεμβριου. Οι συζητήσεις τους αφορούν κυρίως τους #knicks αφού οι υπόλοιπες ομάδες σιγά - σιγά αποσύρουν το ενδιαφέρον τους.
#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA"
36,2022-08-26 14:23:41+00:00,Rushmor3Sports,"Patrick Beverley is now a #LAKER 
#LakeShow #NBA #NBATRADES https://t.co/oUcKMMRSr7"
37,2022-08-26 13:21:39+00:00,postupvideos,"Watch this video: ""The Utah Jazz MUST TRADE Donovan Mitchell to the New York Knicks ASAP!"" as it was just published on Post Up Videos by one of our valued content creators - TJ NBA HOOPS. 

#PostUpVideos #NBATwitter #NBA #knicks #nbatrades #utahjazz

https://t.co/E0qZQRI3Dh https://t.co/pSsolQjzJA"
38,2022-08-26 05:56:50+00:00,kobejaykj8,#lalakers #lakers #laker #lbj #james #losangeles #losangeleslakers #nbatrades #tht #patrickbeverley https://t.co/ObrHgwIJ2A
39,2022-08-25 21:03:47+00:00,DylanMehl,"Kevin Durant to stay in Brooklyn! I Lakers trade plans for Russel Westbrook? I LTS Ep 34 #NBA #NBATrades #Basketball 

https://t.co/8aUYvZ2IZ5 https://t.co/9PIhIRzYxD"
40,2022-08-25 20:20:10+00:00,pauljones100_,Just start Austin Reaves at the 2 please &amp; I’m happy. #Lakers #LakeShow #nbatrades #NBA #freeAgency
41,2022-08-25 17:40:08+00:00,ticketrules,"Today's Best NBA Reporting: https://t.co/wsjhHCTwwu
#nba #nbadraft #kevindurant #nbatrades #ChetHolmgren #nbahistory
@JeffZillgitt @MikeAScotto @CavsJoeG @DaltonJ_Johnson @BrettSiegelNBA @TheStrickland @NYPost_Berman @brohrbach @DeAntae @KyleNeubeck @danclayt0n @NBADraftWass"
42,2022-08-25 15:00:01+00:00,Sportsnaut,"A new report suggests many #NBA teams were hesitant to give up a lot in a Kevin Durant trade, Fearing he would want out a year after arriving. #KevinDurant #Nets #nbatrades https://t.co/e9iswZyZRc"
43,2022-08-25 13:23:54+00:00,613Faye,"Thoughts On @patbev21 &amp; @russwest44 Going From Rivals To Teammates 
#613ManCave #Lakers #PatBev #RussellWestbrook #NBA #NBATrades 
@PoppInFresh25 @GMoneyCaveMan https://t.co/OrvC2YWjGm"
44,2022-08-25 13:06:52+00:00,CryptoUPOD,How much more can #lebron do to force Russ out? #nbatrades #patbev #westbrook #RussellWestbrook #lakers #tht
45,2022-08-25 05:49:39+00:00,BoodDesigns,"❗️ONLY $48 USD❗️Some our NBA Throwback Jerseys 🔥 Order yours today https://t.co/1PWk3jCvcM
•
•
•
#nba
#nbatrades
#NBA2K23 
#sport
#TalkThatTalk 
#sportsjerseys
#afl https://t.co/whbddhhuF3"
46,2022-08-25 05:15:01+00:00,LTrain_NBA,"Στους #lakers o Patrick Beverley με trade. Τον Talen Horton Tucker εδωσαν οι Lakers στους #jazz.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA"
47,2022-08-25 04:45:13+00:00,NoCrownPlease,"Lakers have officially bailed on Project THT 🏗✌🏾😆 #ESPN

#Lakers #LeBronJames #PatrickBeverley #NBATwitter #NBATwitterLive #NBA #NBANews #NBAToday #NBATrades https://t.co/gD5f2Otsn1"
48,2022-08-25 04:40:45+00:00,kobejaykj8,#lalakers #lakers #laker #lbj #james #losangeles #losangeleslakers #nbatrades #tht #patrickbeverley https://t.co/X7cLPfvCny
49,2022-08-25 03:37:18+00:00,DuquonBennett,@patbev21 bounce around more than an overinflated ball 🏀 😂😂 #nbaTrades
50,2022-08-24 22:24:02+00:00,DThornDigital,"#KevinDurant Traded To The #Bucks For #KhrisMiddleton &amp; 3 First Round Draft Picks‼️**#ESPN #WOJ**🤯
👉https://t.co/5bksGswxxh👈
#nba #nbanews #nbatrades #shocking #viral #breakingnews #shannonsharpe #stephenasmith #explorepage #trending #giannis #giannisantetokounmpo https://t.co/DnC3d0QAIt"
51,2022-08-24 21:05:21+00:00,TheEZSportsTalk,"BREAKING NEWS: KD IS UNABLE TO FORCE HIS WAY OUT OF BROOKLYN!

 #nbanews #sportsanalyst #nba #NBATRADES #NBAINJURIES #KEVINDURANT #BROOKLYNNETS https://t.co/6O67rXOLHn"
52,2022-08-24 16:28:09+00:00,edge_winners,Will a Kevin Durant or Donovan Mitchell trade for either player happen this offseason? Check out The Goated Podcast for lively thoughts. #KevinDurant #DonovanMitchell #NBAtrades  https://t.co/LxZxNvcMyK
53,2022-08-24 16:23:05+00:00,LTrain_NBA,"Κοινό ενδιαφέρον φαίνεται πως υπάρχει ανάμεσα σε Nets και Markieff Morris.
Αν και έχει να παίξει μπάσκετ ένα χρόνο, είναι παίκτης που θα δώσει σκληαρά, στην soft (μέχρι πέρυσι) ρακέτα των Nets. Ειδικά, μαζί με τον O'Neale.
#NBADraft #NBAFreeAgency #NBAtrades #NBARumors"
54,2022-08-24 13:56:06+00:00,LTrain_NBA,"Αρκετά πιθανό το ενδεχόμενο πλέον οι #knicks να συμπεριλάβουν στο πακέτο για τον Mitchell και τον RJ Barrett, πέραν των Toppin, Grimes, Quickley.

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA"
55,2022-08-24 13:38:36+00:00,LTrain_NBA,"Για τον Justise Winslow φαίνεται πως ενδιαφέρονται οι #celtics και ενδεχομένως να τον κάνουν δικό τους με ένα από τα trade Exception που έχουν. 

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBA75 #NBAYoungBoy #NBATwitterLive #NBATipo #NBABasketball #OTNBA"
56,2022-08-24 12:52:42+00:00,LTrain_NBA,"Πότε οι #suns δεν έβαλαν σε trade block τον Bridges στις συζητήσεις με τους #nets. Πρακτικά, ποτέ δεν υπήρξε κάτι παραπάνω από συζητήσεις σε θεωρητικό επίπεδο ανάμεσα στις 2 ομάδες.

Per @Gambo987

#NBAFreeAgency #NBAtrades #NBARumors #NBATwitter #NBA #NBAExtra #NBATwitterLive"
57,2022-08-24 06:50:54+00:00,LTrain_NBA,"Μιλώντας στον πρώην κόουτς του Louisville, Rick Pitino, ο Mitchell αποκάλυψε ότι θα του άρεσε πάρα πολύ να γίνει ένας New York Knick.
Κάτι τέτοια λέει και μετά οι Knicks θα δώσουν και τα κλειδιά του γηπέδου στους Jazz για να τον πάρουν.

#NBADraft #NBAFreeAgency #NBAtrades"
58,2022-08-23 22:26:52+00:00,DThornDigital,"#KevinDurant Traded To The #MemphisGrizzlies For #JarenJacksonJr &amp; #DesmondBane ‼️**ESPN WOJ**🤯
👉https://t.co/NbnaNf5Es5👈👀
#kd #nets #grizzlies #grizz #kyrieirving #trades #espn #woj #stephenasmith #brooklyn #lebron #nba #nbatrades #trade #podcast #sports #basketball https://t.co/1Q0u69wsDN"
59,2022-08-23 16:44:42+00:00,ticketrules,"Today's Best NBA Reporting: https://t.co/rNCSD6TVE2
#nba #nbadraft #kevindurant #nbatrades #nbacoaches   #nbarookies #nbanalytics #nbahistory
@KeithSmithNBA @Powell2daPeople @dailypenn @DonnaDitota1"
